,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,0.70,VS2,D,None,Ideal,Jul 10,Jul 11,62.7,./diamond-details/LD08360250,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08360250,Faint,False,1.01,Excellent,2800,"$4,000",RD,Call,Call,[u'LD08360250'],Excellent,57.0
1,0.71,VS1,G,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08492036,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08492036,None,True,1.01,Very Good,2800,"$3,944",RD,Call,Call,[u'LD08492036'],Excellent,55.0
2,0.70,VVS2,F,None,Very Good,Jul 10,Jul 11,64.4,./diamond-details/LD08858296,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08858296,None,False,1.01,Excellent,2800,"$4,000",RD,Call,Call,[u'LD08858296'],Excellent,57.0
3,0.80,VVS2,I,None,Ideal,Jul 12,Jul 13,61.5,./diamond-details/LD08923175,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08923175,None,False,1.01,Excellent,2800,"$3,500",RD,Call,Call,[u'LD08923175'],Excellent,61.0
4,0.70,VS1,H,None,Ideal,Jul 12,Jul 13,63.4,./diamond-details/LD08927917,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08927917,None,False,1.00,Excellent,2800,"$4,000",RD,Call,Call,[u'LD08927917'],Excellent,57.0
5,0.72,VS1,G,None,Very Good,Jul 12,Jul 13,64.9,./diamond-details/LD08961264,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08961264,None,False,1.01,Excellent,2800,"$3,889",RD,Call,Call,[u'LD08961264'],Very Good,59.0
6,0.71,VS1,H,None,Ideal,Jul 7,Jul 10,62.6,./diamond-details/LD07248221,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07248221,None,False,1.01,Excellent,2801,"$3,945",RD,Call,Call,[u'LD07248221'],Excellent,58.0
7,0.90,SI2,J,None,Very Good,Jul 12,Jul 13,64.1,./diamond-details/LD07338880,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07338880,None,False,1.00,Excellent,2801,"$3,112",RD,Call,Call,[u'LD07338880'],Good,55.0
8,0.82,SI1,H,None,Ideal,Jul 12,Jul 13,61.5,./diamond-details/LD08083506,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08083506,None,True,1.01,Excellent,2801,"$3,416",RD,Call,Call,[u'LD08083506'],Excellent,58.0
9,0.60,VVS1,F,None,Ideal,Jul 10,Jul 11,63.0,./diamond-details/LD08858515,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08858515,None,False,1.01,Excellent,2801,"$4,668",RD,Call,Call,[u'LD08858515'],Excellent,55.0
10,0.70,VS2,G,None,Ideal,Jul 12,Jul 13,62.9,./diamond-details/LD08871832,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08871832,None,False,1.01,Excellent,2801,"$4,001",RD,Call,Call,[u'LD08871832'],Very Good,56.0
11,0.71,VVS1,H,None,Ideal,Jul 12,Jul 13,61.5,./diamond-details/LD08886579,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08886579,None,True,1.01,Excellent,2801,"$3,945",RD,Call,Call,[u'LD08886579'],Excellent,57.0
12,0.75,SI1,G,None,Ideal,Jul 6,Jul 7,61.9,./diamond-details/LD08949457,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08949457,Faint,False,1.01,Excellent,2801,"$3,735",RD,Call,Call,[u'LD08949457'],Excellent,58.0
