,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,0.26,VS1,E,None,Very Good,Jul 6,Jul 7,61.9,./diamond-details/LD02094613,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD02094613,None,False,1.01,Good,600,"$2,308",RD,Call,Call,[u'LD02094613'],Very Good,59.0
1,0.30,VS1,D,None,Very Good,Jul 12,Jul 13,58.4,./diamond-details/LD06764408,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06764408,None,False,1.00,Excellent,600,"$2,000",RD,Call,Call,[u'LD06764408'],Excellent,62.0
2,0.37,SI2,D,None,Very Good,Jul 12,Jul 13,64.0,./diamond-details/LD07561177,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07561177,Medium Blue,False,1.00,Very Good,600,"$1,622",RD,Call,Call,[u'LD07561177'],Excellent,58.0
3,0.33,SI1,G,None,Ideal,Jul 12,Jul 13,61.9,./diamond-details/LD07860490,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07860490,None,False,1.00,Excellent,600,"$1,818",RD,Call,Call,[u'LD07860490'],Excellent,60.0
4,0.30,SI1,F,None,Ideal,Jul 10,Jul 11,61.2,./diamond-details/LD08086887,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08086887,None,False,1.01,Excellent,600,"$2,000",RD,Call,Call,[u'LD08086887'],Excellent,60.0
5,0.32,VVS1,I,None,Ideal,Jul 7,Jul 10,61.7,./diamond-details/LD08134727,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08134727,None,False,1.00,Excellent,600,"$1,875",RD,Call,Call,[u'LD08134727'],Excellent,58.0
6,0.37,VS2,I,None,Good,Jul 12,Jul 13,64.2,./diamond-details/LD08394580,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08394580,Faint,False,1.01,Excellent,600,"$1,622",RD,Call,Call,[u'LD08394580'],Very Good,59.0
7,0.32,VS2,H,None,Ideal,Jul 12,Jul 13,62.8,./diamond-details/LD08440625,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08440625,Medium,False,1.00,Excellent,600,"$1,875",RD,Call,Call,[u'LD08440625'],Excellent,58.0
8,0.35,VVS2,J,None,Ideal,Jul 10,Jul 11,60.9,./diamond-details/LD08442171,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08442171,None,False,1.00,Excellent,600,"$1,714",RD,Call,Call,[u'LD08442171'],Excellent,61.0
9,0.37,VS1,J,None,Ideal,Jul 10,Jul 11,62.4,./diamond-details/LD08442246,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08442246,None,False,1.01,Excellent,600,"$1,622",RD,Call,Call,[u'LD08442246'],Very Good,57.0
10,0.37,VS1,J,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08533775,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08533775,Faint,False,1.01,Excellent,600,"$1,622",RD,Call,Call,[u'LD08533775'],Very Good,57.0
