,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,0.31,VVS1,D,None,Ideal,Jul 12,Jul 13,62.7,./diamond-details/LD02342741,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD02342741,None,False,1.00,Very Good,900,"$2,903",RD,Call,Call,[u'LD02342741'],Very Good,56.0
1,0.40,VVS2,G,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD06111708,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06111708,Medium,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD06111708'],Very Good,55.0
2,0.37,VS1,F,None,Ideal,Jul 12,Jul 13,61.8,./diamond-details/LD07011336,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07011336,None,False,1.00,Excellent,900,"$2,432",RD,Call,Call,[u'LD07011336'],Excellent,57.0
3,0.38,VS2,D,None,Ideal,Jul 12,Jul 13,60.1,./diamond-details/LD07686343,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07686343,None,False,1.00,Excellent,900,"$2,368",RD,Call,Call,[u'LD07686343'],Excellent,59.0
4,0.42,SI1,F,None,Ideal,Jul 10,Jul 11,61.9,./diamond-details/LD08002100,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08002100,None,False,1.00,Excellent,900,"$2,143",RD,Call,Call,[u'LD08002100'],Excellent,57.0
5,0.40,VS2,E,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08249756,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08249756,None,False,1.00,Very Good,900,"$2,250",RD,Call,Call,[u'LD08249756'],Excellent,57.0
6,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08261726,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08261726,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08261726'],Excellent,55.0
7,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,64.0,./diamond-details/LD08326600,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08326600,None,False,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08326600'],Excellent,55.0
8,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,63.9,./diamond-details/LD08326602,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08326602,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08326602'],Excellent,57.0
9,0.46,SI2,E,None,Very Good,Jul 12,Jul 13,64.0,./diamond-details/LD08371348,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08371348,None,False,1.00,Excellent,900,"$1,957",RD,Call,Call,[u'LD08371348'],Excellent,55.0
10,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,60.0,./diamond-details/LD08500573,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08500573,None,False,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08500573'],Very Good,61.0
11,0.35,VVS1,E,None,Ideal,Jul 13,Jul 14,62.5,./diamond-details/LD08597164,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08597164,None,False,1.01,Excellent,900,"$2,571",RD,Call,Call,[u'LD08597164'],Very Good,57.0
12,0.43,VS2,H,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08607092,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08607092,None,False,1.00,Excellent,900,"$2,093",RD,Call,Call,[u'LD08607092'],Excellent,57.0
13,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,62.2,./diamond-details/LD08624259,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08624259,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08624259'],Very Good,60.0
14,0.40,VVS1,H,None,Ideal,Jul 12,Jul 13,62.2,./diamond-details/LD08629476,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08629476,Medium,True,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08629476'],Excellent,54.0
15,0.40,SI1,F,None,Ideal,Jul 13,Jul 14,62.7,./diamond-details/LD08745722,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08745722,None,False,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08745722'],Excellent,56.0
16,0.46,SI2,E,None,Very Good,Jul 12,Jul 13,64.5,./diamond-details/LD08767277,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08767277,None,False,1.01,Excellent,900,"$1,957",RD,Call,Call,[u'LD08767277'],Excellent,57.0
17,0.40,VS1,E,None,Very Good,Jul 12,Jul 13,64.6,./diamond-details/LD08770953,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08770953,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08770953'],Excellent,58.0
18,0.40,VS1,E,None,Very Good,Jul 12,Jul 13,64.3,./diamond-details/LD08771933,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08771933,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08771933'],Very Good,59.0
19,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,62.4,./diamond-details/LD08777701,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08777701,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08777701'],Very Good,60.0
20,0.40,SI1,E,None,Ideal,Jul 13,Jul 14,62.9,./diamond-details/LD08790330,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08790330,None,False,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08790330'],Excellent,56.0
21,0.40,VS2,E,None,Very Good,Jul 12,Jul 13,64.6,./diamond-details/LD08802849,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08802849,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08802849'],Excellent,58.0
22,0.41,IF,I,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08817460,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08817460,None,False,1.01,Excellent,900,"$2,195",RD,Call,Call,[u'LD08817460'],Excellent,58.0
23,0.46,SI2,E,None,Very Good,Jul 12,Jul 13,64.1,./diamond-details/LD08822944,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08822944,None,False,1.01,Excellent,900,"$1,957",RD,Call,Call,[u'LD08822944'],Excellent,58.0
24,0.40,VS2,E,None,Ideal,Jul 10,Jul 11,61.7,./diamond-details/LD08835294,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08835294,None,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08835294'],Very Good,60.0
25,0.35,VS1,D,None,Ideal,Jul 13,Jul 14,61.1,./diamond-details/LD08861830,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08861830,None,False,1.01,Excellent,900,"$2,571",RD,Call,Call,[u'LD08861830'],Excellent,56.0
26,0.41,VS1,E,None,Very Good,Jul 12,Jul 13,64.7,./diamond-details/LD08892533,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08892533,None,False,1.01,Excellent,900,"$2,195",RD,Call,Call,[u'LD08892533'],Very Good,57.0
27,0.40,VS1,H,None,Very Good,Jul 10,Jul 11,64.7,./diamond-details/LD08898731,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08898731,Faint,True,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08898731'],Very Good,57.0
28,0.31,VVS1,D,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08909211,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08909211,None,False,1.00,Excellent,900,"$2,903",RD,Call,Call,[u'LD08909211'],Excellent,58.0
29,0.46,SI2,D,None,Very Good,Jul 13,Jul 14,62.3,./diamond-details/LD08920528,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08920528,None,False,1.01,Excellent,900,"$1,957",RD,Call,Call,[u'LD08920528'],Very Good,57.0
30,0.40,VS2,F,None,Ideal,Jul 13,Jul 14,61.2,./diamond-details/LD08929478,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08929478,Medium,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08929478'],Excellent,60.0
31,0.38,VS1,E,None,Ideal,Jul 12,Jul 13,62.9,./diamond-details/LD08948883,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08948883,None,False,1.01,Very Good,900,"$2,368",RD,Call,Call,[u'LD08948883'],Excellent,56.0
32,0.33,VVS2,D,None,Ideal,Jul 13,Jul 14,62.4,./diamond-details/LD08955106,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08955106,None,False,1.00,Excellent,900,"$2,727",RD,Call,Call,[u'LD08955106'],Excellent,56.0
33,0.31,VVS1,D,None,Ideal,Jul 12,Jul 13,62.4,./diamond-details/LD08963566,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08963566,None,False,1.00,Excellent,900,"$2,903",RD,Call,Call,[u'LD08963566'],Excellent,59.0
34,0.34,VVS1,D,None,Ideal,Jul 13,Jul 14,62.3,./diamond-details/LD08967401,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08967401,Faint,False,1.01,Excellent,900,"$2,647",RD,Call,Call,[u'LD08967401'],Excellent,57.0
35,0.40,VVS2,G,None,Ideal,Jul 13,Jul 14,62.1,./diamond-details/LD08967770,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08967770,Faint,False,1.00,Excellent,900,"$2,250",RD,Call,Call,[u'LD08967770'],Very Good,57.0
36,0.40,SI1,F,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08976359,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08976359,Faint,False,1.01,Excellent,900,"$2,250",RD,Call,Call,[u'LD08976359'],Very Good,56.0
37,0.38,VS1,F,None,Ideal,Jul 12,Jul 13,61.0,./diamond-details/LD07504879,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07504879,None,False,1.01,Excellent,901,"$2,371",RD,Call,Call,[u'LD07504879'],Excellent,57.0
38,0.40,VS2,G,None,Ideal,Jul 12,Jul 13,61.9,./diamond-details/LD08267786,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08267786,None,True,1.01,Excellent,901,"$2,252",RD,Call,Call,[u'LD08267786'],Very Good,57.0
