,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
147,0.33,SI2,E,None,Ideal,Jul 18,Jul 19,61.2,./diamond-details/LD08891420,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08891420,Faint,False,1.00,Excellent,502,"$1,521",RD,Call,Call,[u'LD08891420'],Excellent,57.0
148,0.31,VS2,J,None,Ideal,Jul 12,Jul 13,61.1,./diamond-details/LD08914894,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08914894,None,False,1.01,Very Good,502,"$1,619",RD,Call,Call,[u'LD08914894'],Excellent,59.0
149,0.30,VS2,I,None,Very Good,Jul 10,Jul 11,62.1,./diamond-details/LD08925818,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08925818,None,False,1.00,Excellent,502,"$1,673",RD,Call,Call,[u'LD08925818'],Very Good,60.0
150,0.32,SI1,I,None,Ideal,Jul 12,Jul 13,61.9,./diamond-details/LD08928085,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08928085,None,False,1.01,Excellent,502,"$1,569",RD,Call,Call,[u'LD08928085'],Very Good,58.0
151,0.30,SI2,F,None,Ideal,Jul 10,Jul 11,63.1,./diamond-details/LD08956118,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08956118,None,False,1.01,Excellent,502,"$1,673",RD,Call,Call,[u'LD08956118'],Excellent,55.0
152,0.30,VS1,J,None,Ideal,Jul 12,Jul 13,59.7,./diamond-details/LD08957055,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08957055,Medium,False,1.01,Excellent,502,"$1,673",RD,Call,Call,[u'LD08957055'],Excellent,60.0
153,0.26,VS1,F,None,Ideal,Jul 7,Jul 10,62.4,./diamond-details/LD08958159,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08958159,None,False,1.00,Excellent,502,"$1,931",RD,Call,Call,[u'LD08958159'],Excellent,55.0
154,0.30,SI2,D,None,Ideal,Jul 10,Jul 11,59.5,./diamond-details/LD08968635,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08968635,Medium,False,1.00,Excellent,502,"$1,673",RD,Call,Call,[u'LD08968635'],Excellent,62.0
155,0.30,SI1,H,None,Ideal,Jul 12,Jul 13,60.6,./diamond-details/LD08971576,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08971576,None,False,1.01,Excellent,502,"$1,673",RD,Call,Call,[u'LD08971576'],Excellent,60.0
156,0.30,SI1,I,None,Ideal,Jul 12,Jul 13,62.0,./diamond-details/LD08974770,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08974770,Faint,False,1.01,Excellent,502,"$1,673",RD,Call,Call,[u'LD08974770'],Excellent,58.0
157,0.32,SI2,D,None,Ideal,Jul 7,Jul 10,62.8,./diamond-details/LD07520005,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07520005,Faint Blue,False,1.00,Very Good,503,"$1,572",RD,Call,Call,[u'LD07520005'],Very Good,54.0
158,0.33,SI2,G,None,Ideal,Jul 12,Jul 13,62.4,./diamond-details/LD07705250,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07705250,None,False,1.01,Excellent,503,"$1,524",RD,Call,Call,[u'LD07705250'],Excellent,60.0
159,0.31,VS1,I,None,Ideal,Jul 12,Jul 13,61.5,./diamond-details/LD07742800,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07742800,Faint,False,1.00,Excellent,503,"$1,623",RD,Call,Call,[u'LD07742800'],Excellent,56.0
160,0.32,SI2,F,None,Ideal,Jul 12,Jul 13,61.1,./diamond-details/LD07789075,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD07789075,Faint,False,1.00,Excellent,503,"$1,572",RD,Call,Call,[u'LD07789075'],Excellent,58.0
