,carat,clarity,color,culet,cut,date,dateSet,depth,detailsPageUrl,detailsUrl,fluorescence,hasVisualization,lxwRatio,polish,price,pricePerCarat,shape,shipsInDays,shipsInDaysSet,skus,symmetry,table
0,0.52,VVS2,D,None,Ideal,Jul 10,Jul 11,60.7,./diamond-details/LD08398672,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08398672,None,False,1.00,Excellent,2300,"$4,423",RD,Call,Call,[u'LD08398672'],Excellent,59.0
1,0.61,IF,G,None,Ideal,Jul 12,Jul 13,62.3,./diamond-details/LD08400932,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08400932,None,False,1.01,Excellent,2300,"$3,770",RD,Call,Call,[u'LD08400932'],Excellent,59.0
2,0.63,VS2,E,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08557930,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08557930,None,False,1.01,Excellent,2300,"$3,651",RD,Call,Call,[u'LD08557930'],Excellent,56.0
3,0.70,SI1,H,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08560015,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08560015,Faint,True,1.01,Excellent,2300,"$3,286",RD,Call,Call,[u'LD08560015'],Excellent,57.0
4,0.57,VVS1,F,None,Ideal,Jul 10,Jul 11,62.7,./diamond-details/LD08859382,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08859382,None,False,1.00,Excellent,2300,"$4,035",RD,Call,Call,[u'LD08859382'],Excellent,57.0
5,0.70,VS2,F,None,Very Good,Jul 12,Jul 13,60.2,./diamond-details/LD08948594,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08948594,Faint,True,1.01,Very Good,2300,"$3,286",RD,Call,Call,[u'LD08948594'],Very Good,62.0
6,0.59,VS1,E,None,Ideal,Jul 12,Jul 13,62.7,./diamond-details/LD08956356,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08956356,None,False,1.01,Excellent,2300,"$3,898",RD,Call,Call,[u'LD08956356'],Excellent,55.0
7,0.70,SI1,F,None,Ideal,Jul 6,Jul 7,62.3,./diamond-details/LD08091371,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08091371,None,False,1.00,Excellent,2301,"$3,287",RD,Call,Call,[u'LD08091371'],Very Good,59.0
8,0.70,SI1,F,None,Very Good,Jul 12,Jul 13,63.0,./diamond-details/LD08126077,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08126077,None,False,1.01,Excellent,2301,"$3,287",RD,Call,Call,[u'LD08126077'],Very Good,58.0
9,0.60,VVS1,F,None,Ideal,Jul 12,Jul 13,62.7,./diamond-details/LD08132870,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08132870,Medium,True,1.01,Excellent,2301,"$3,835",RD,Call,Call,[u'LD08132870'],Excellent,56.0
10,0.62,VVS1,G,None,Ideal,Jul 12,Jul 13,60.2,./diamond-details/LD08158943,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08158943,None,False,1.00,Excellent,2301,"$3,711",RD,Call,Call,[u'LD08158943'],Excellent,59.0
11,0.60,VVS2,F,None,Ideal,Jul 12,Jul 13,61.6,./diamond-details/LD08334469,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08334469,None,False,1.01,Very Good,2301,"$3,835",RD,Call,Call,[u'LD08334469'],Excellent,57.0
12,0.57,VVS2,D,None,Ideal,Jul 12,Jul 13,62.8,./diamond-details/LD08337597,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08337597,None,True,1.01,Excellent,2301,"$4,037",RD,Call,Call,[u'LD08337597'],Excellent,57.0
13,0.71,SI1,F,None,Ideal,Jul 12,Jul 13,62.3,./diamond-details/LD08509364,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08509364,Medium,False,1.00,Excellent,2301,"$3,241",RD,Call,Call,[u'LD08509364'],Excellent,54.0
14,0.58,VVS1,G,None,Ideal,Jul 10,Jul 11,62.5,./diamond-details/LD08644096,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08644096,None,False,1.00,Excellent,2301,"$3,967",RD,Call,Call,[u'LD08644096'],Excellent,58.0
15,0.50,VVS1,D,None,Ideal,Jul 10,Jul 11,62.3,./diamond-details/LD08646099,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08646099,Faint,False,1.00,Excellent,2301,"$4,602",RD,Call,Call,[u'LD08646099'],Excellent,58.0
16,0.50,VVS1,D,None,Ideal,Jul 10,Jul 11,61.1,./diamond-details/LD08808464,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08808464,Faint,False,1.01,Excellent,2301,"$4,602",RD,Call,Call,[u'LD08808464'],Excellent,61.0
17,0.70,SI1,F,None,Ideal,Jul 12,Jul 13,62.6,./diamond-details/LD08833398,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08833398,Strong,True,1.01,Excellent,2301,"$3,287",RD,Call,Call,[u'LD08833398'],Excellent,58.0
18,0.71,VVS2,G,None,Good,Jul 12,Jul 13,66.6,./diamond-details/LD08834302,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08834302,Medium,True,1.01,Excellent,2301,"$3,241",RD,Call,Call,[u'LD08834302'],Excellent,57.0
19,0.71,SI1,F,None,Ideal,Jul 12,Jul 13,62.0,./diamond-details/LD08862702,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08862702,None,False,1.01,Excellent,2301,"$3,241",RD,Call,Call,[u'LD08862702'],Very Good,56.0
20,0.57,VVS2,D,None,Ideal,Jul 12,Jul 13,62.9,./diamond-details/LD08908173,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08908173,None,False,1.01,Excellent,2301,"$4,037",RD,Call,Call,[u'LD08908173'],Excellent,56.0
21,0.48,VVS1,D,None,Ideal,Jul 12,Jul 13,62.1,./diamond-details/LD08945626,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08945626,None,False,1.00,Excellent,2301,"$4,794",RD,Call,Call,[u'LD08945626'],Excellent,57.0
22,0.71,SI1,G,None,Ideal,Jul 12,Jul 13,62.5,./diamond-details/LD08960146,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD08960146,Faint,False,1.00,Very Good,2301,"$3,241",RD,Call,Call,[u'LD08960146'],Excellent,55.0
23,0.58,VVS2,D,None,Ideal,Jul 12,Jul 13,60.9,./diamond-details/LD05686171,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD05686171,None,False,1.00,Excellent,2302,"$3,969",RD,Call,Call,[u'LD05686171'],Excellent,58.0
24,0.65,VVS2,H,None,Ideal,Jul 18,Jul 19,61.9,./diamond-details/LD06147839,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06147839,None,True,1.01,Excellent,2302,"$3,542",RD,Call,Call,[u'LD06147839'],Excellent,59.0
25,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,62.2,./diamond-details/LD06528956,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06528956,None,False,1.01,Very Good,2302,"$3,289",RD,Call,Call,[u'LD06528956'],Very Good,59.0
26,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,64.2,./diamond-details/LD06528987,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06528987,None,False,1.01,Excellent,2302,"$3,289",RD,Call,Call,[u'LD06528987'],Very Good,57.0
27,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,63.0,./diamond-details/LD06529047,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529047,None,False,1.01,Excellent,2302,"$3,289",RD,Call,Call,[u'LD06529047'],Very Good,55.0
28,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,63.2,./diamond-details/LD06529062,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529062,None,False,1.01,Excellent,2302,"$3,289",RD,Call,Call,[u'LD06529062'],Very Good,59.0
29,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,61.1,./diamond-details/LD06529067,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529067,None,False,1.01,Excellent,2302,"$3,289",RD,Call,Call,[u'LD06529067'],Excellent,59.0
30,0.70,VVS2,I,None,Very Good,Jul 12,Jul 13,64.5,./diamond-details/LD06529080,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529080,None,False,1.01,Very Good,2302,"$3,289",RD,Call,Call,[u'LD06529080'],Very Good,56.0
31,0.70,VVS2,I,None,Ideal,Jul 12,Jul 13,61.2,./diamond-details/LD06529122,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529122,None,False,1.01,Excellent,2302,"$3,289",RD,Call,Call,[u'LD06529122'],Very Good,58.0
32,0.70,VVS2,I,None,Ideal,Jul 12,Jul 13,62.0,./diamond-details/LD06529126,/api/public/loose-diamond/diamond-details/panel?country=USA&currency=USD&language=en-us&productSet=BN&sku=LD06529126,None,False,1.00,Very Good,2302,"$3,289",RD,Call,Call,[u'LD06529126'],Excellent,58.0
